iter	Logloss
0	0.6180331449
1	0.5753623602
2	0.5515485783
3	0.536616185
4	0.5291872568
5	0.5224804283
6	0.5196640037
7	0.5174337197
8	0.5156411537
9	0.514322783
10	0.5135738715
11	0.5125523156
12	0.5121056801
13	0.5114917117
14	0.5112480235
15	0.5109720908
16	0.5107062026
17	0.5104883915
18	0.5103427659
19	0.5101740703
20	0.5100823194
21	0.5099810147
22	0.5099237108
23	0.5098147938
24	0.5096543021
25	0.5095576394
26	0.5094876519
27	0.5094187332
28	0.5093647419
29	0.5092952168
30	0.5092416606
31	0.5091963739
32	0.5091029258
33	0.509050172
34	0.5090000595
35	0.5089297323
36	0.5088416212
37	0.5088106133
38	0.5087757859
39	0.5087527529
40	0.5087107501
41	0.5086415499
42	0.5086158746
43	0.5085868773
44	0.5085676102
45	0.5085387222
46	0.5085197499
47	0.5084970883
48	0.5084659567
49	0.5084234419
50	0.5084068115
51	0.5083771378
52	0.508335647
53	0.5082994595
54	0.5082785262
55	0.5082490895
56	0.5082108474
57	0.5081671814
58	0.508145355
59	0.5081303557
60	0.5081049605
61	0.508083151
62	0.5080669868
63	0.5080290719
64	0.5080090288
65	0.5079803544
66	0.5079629427
67	0.507941559
68	0.5079290585
69	0.5079123892
70	0.5078991191
71	0.507862943
72	0.5078350259
73	0.5077969076
74	0.5077790076
75	0.5077621006
76	0.5077445829
77	0.5077249165
78	0.5076908895
79	0.5076742033
80	0.5076577362
81	0.5076412463
82	0.5076239833
83	0.5075928915
84	0.5075762117
85	0.5075610288
86	0.5075487939
87	0.507529578
88	0.5075114823
89	0.5074985399
90	0.5074844349
91	0.5074636153
92	0.5074511424
93	0.5074329852
94	0.507416083
95	0.5073964277
96	0.5073790751
97	0.5073427026
98	0.5073267294
99	0.5073132683
100	0.5073023913
101	0.507284507
102	0.5072612622
103	0.5072513734
104	0.507226707
105	0.5072143163
106	0.5071969403
107	0.5071764373
108	0.5071650964
109	0.5071531298
110	0.5071295522
111	0.507114127
112	0.507105493
113	0.5070885097
114	0.5070681588
115	0.5070482085
116	0.5070359276
117	0.507023245
118	0.5070038725
119	0.5069963699
120	0.5069853482
121	0.5069700792
122	0.5069565128
123	0.5069418085
124	0.5069300191
125	0.5069206413
126	0.5069092233
127	0.5068981266
128	0.5068816789
129	0.5068730596
130	0.5068681375
131	0.5068543714
132	0.5068371643
133	0.5068254229
134	0.5068122775
135	0.5068025324
136	0.5067926157
137	0.5067830685
138	0.5067715477
139	0.5067625272
140	0.5067546263
141	0.5067527427
142	0.5067262927
143	0.5067120699
144	0.5066988438
145	0.5066877692
146	0.5066743731
147	0.5066638508
148	0.5066451051
149	0.5066332362
150	0.5066200988
151	0.5066081094
152	0.5066008586
153	0.5065889841
154	0.5065707668
155	0.506560369
156	0.5065513997
157	0.5065407394
158	0.5065330361
159	0.5065173839
160	0.5065006773
161	0.5064873201
162	0.5064630271
163	0.5064604399
164	0.5064490334
165	0.5064377552
166	0.5064231163
167	0.5064079719
168	0.506397748
169	0.5063869212
170	0.5063749029
171	0.5063641868
172	0.5063472609
173	0.5063358208
174	0.5063265657
175	0.5063194679
176	0.506309313
177	0.5062997193
178	0.5062849236
179	0.5062732497
180	0.5062543785
181	0.5062447752
182	0.5062357673
183	0.5062260041
184	0.5062134824
185	0.5062032038
186	0.5061958076
187	0.5061855319
188	0.5061781846
189	0.5061737944
190	0.5061634085
191	0.5061569004
192	0.5061435988
193	0.5061321513
194	0.506129017
195	0.5061142438
196	0.506100164
197	0.5060894611
198	0.5060781323
199	0.5060690486
200	0.5060580244
201	0.5060497698
202	0.5060387262
203	0.5060271649
204	0.5060190448
205	0.5060108033
206	0.5060035771
207	0.5059988189
208	0.5059871697
209	0.5059784436
210	0.5059731118
211	0.50596159
212	0.5059522858
213	0.5059439387
214	0.5059319649
215	0.5059245366
216	0.5059180226
217	0.5059105997
218	0.5059008907
219	0.5058917832
220	0.5058845907
221	0.5058745067
222	0.5058631473
223	0.5058542761
224	0.5058508248
225	0.505842329
226	0.5058324156
227	0.5058269664
228	0.5058216091
229	0.5058124126
230	0.5058020755
231	0.5057902231
232	0.5057821472
233	0.5057713819
234	0.5057590605
235	0.5057553985
236	0.505746177
237	0.5057396171
238	0.5057290889
239	0.505722718
240	0.5057182167
241	0.5057076318
242	0.5056977489
243	0.5056893261
244	0.5056844937
245	0.5056790402
246	0.5056669057
247	0.5056610297
248	0.5056505702
249	0.5056409674
250	0.50563448
251	0.5056282131
252	0.5056221043
253	0.5056184039
254	0.5056119308
255	0.5056048044
256	0.5055959572
257	0.5055920088
258	0.5055797832
259	0.5055739489
260	0.5055675586
261	0.5055632199
262	0.5055562958
263	0.5055532666
264	0.5055460617
265	0.5055364022
266	0.5055278954
267	0.5055151287
268	0.5055050804
269	0.5054974021
270	0.5054904558
